id,maintenance_fund_id,year,amount,created_at,updated_at,fee_collection_type_id,how_collected,other_fee_type
72,108,2009,300.00,2012-07-16 10:53:41,2012-07-16 10:53:41,956606308,,
73,109,1999,VARIES P/QTR.,2012-07-16 10:53:42,2012-07-16 10:53:42,956606308,,
74,113,2008,P/6mths,2012-07-16 10:53:43,2012-12-03 17:43:19,86044396,,
75,115,1999,VARIES P/M,2012-07-16 10:53:43,2012-07-16 10:53:43,715507355,,
76,116,2002,120.00,2012-07-16 10:53:44,2012-07-16 10:53:44,943965439,,
77,118,2008,75.00 P/M,2012-07-16 10:53:45,2012-07-16 10:53:45,715507355,,
78,119,2011,$ VARIES,2012-07-16 10:53:45,2012-07-16 10:53:45,943965439,,
79,120,1998,NONE ASSESSED,2012-07-16 10:53:46,2012-07-16 10:53:46,943965439,,
80,121,2010,VARIES P/M,2012-07-16 10:53:46,2012-07-16 10:53:46,715507355,,
81,122,2003,VARIES P/M,2012-07-16 10:53:47,2012-07-16 10:53:47,715507355,,
82,123,2008,$ VARIES P/M,2012-07-16 10:53:47,2012-07-16 10:53:47,715507355,,
83,125,1987,65.00 P/M,2012-07-16 10:53:48,2012-07-16 10:53:48,715507355,,
84,126,2007,$ 425.00,2012-07-16 10:53:49,2012-07-16 10:53:49,943965439,,
85,127,2011,0.00589 psq',2012-07-16 10:53:49,2012-12-03 18:15:54,943965439,,
86,128,2006,VARIES,2012-07-16 10:53:50,2012-07-16 10:53:50,943965439,,
87,132,2003,VARIES,2012-07-16 10:53:51,2012-07-16 10:53:51,943965439,,
88,133,2011,440.00,2012-07-16 10:53:52,2012-07-16 10:53:52,943965439,,
89,136,2011,100.00,2012-07-16 10:53:53,2012-07-16 10:53:53,425211171,,
90,137,2005,VARIES P/M,2012-07-16 10:53:54,2012-07-16 10:53:54,715507355,,
91,138,2010,$ 75.00 PM,2012-07-16 10:53:55,2012-07-16 10:53:55,715507355,,
92,139,2010,"2,278.00",2012-07-16 10:53:56,2012-07-16 10:53:56,943965439,,
93,140,2010,$ 495.00,2012-07-16 10:53:56,2012-07-16 10:53:56,943965439,,
94,141,2008,"$1,920.00",2012-07-16 10:53:57,2012-07-16 10:53:57,943965439,,
95,142,2005,66.00 P/M,2012-07-16 10:53:58,2012-07-16 10:53:58,715507355,,
96,143,2003,,2012-07-16 10:53:59,2012-07-16 10:53:59,715507355,,
97,146,2003,30.00,2012-07-16 10:54:00,2012-07-16 10:54:00,943965439,,
98,153,2010,VARIES P/M,2012-07-16 10:54:02,2012-07-16 10:54:02,715507355,,
99,154,2009,55.00,2012-07-16 10:54:03,2012-07-16 10:54:03,943965439,,
100,155,2009,120.00,2012-07-16 10:54:04,2012-07-16 10:54:04,943965439,,
101,157,2003,$ .016 P/SQFT,2012-07-16 10:54:05,2012-07-16 10:54:05,943965439,,
102,158,2011,814.00,2012-07-16 10:54:06,2012-07-16 10:54:06,943965439,,
103,161,2000,VARIES P/M,2012-07-16 10:54:07,2012-07-16 10:54:07,715507355,,
104,162,2010,365.00,2012-07-16 10:54:08,2012-07-16 10:54:08,943965439,,
105,165,2005,,2012-07-16 10:54:09,2012-07-16 10:54:09,425211171,,
106,166,2011,260.00,2012-07-16 10:54:10,2012-07-16 10:54:10,943965439,,
107,167,2010,$ 500.00,2012-07-16 10:54:11,2012-07-16 10:54:11,943965439,,
108,168,2008,VARIES,2012-07-16 10:54:12,2012-07-16 10:54:12,715507355,,
